District,Size m2,Rooms,Price,Price/m2
 Włochy,32.0,1,1250.0,39.06
 Śródmieście,60.0,3,1500.0,25.0
 Włochy,54.0,2,1750.0,32.41
 Śródmieście,24.0,1,1500.0,62.5
 Bielany,34.0,1,2000.0,58.82
 Ochota,39.0,2,1500.0,38.46
 Żoliborz,50.0,3,2000.0,40.0
 Praga-Północ,34.0,2,1865.0,54.85
 Białołęka,31.0,1,1700.0,54.84
 Bielany,25.0,1,1700.0,68.0
 Wola,27.0,1,1800.0,66.67
 Ursynów,42.0,2,2000.0,47.62
 Mokotów,37.0,2,2000.0,54.05
 Mokotów,33.0,1,1800.0,54.55
 Śródmieście,62.0,3,2500.0,40.32
 Ochota,40.0,2,2250.0,56.25
 Ursus,30.0,1,1599.0,53.3
 Bemowo,44.0,2,2400.0,54.55
 Wilanów,47.7,2,2300.0,48.22
 Śródmieście,30.0,2,1700.0,56.67
 Włochy,27.0,1,1300.0,48.15
 Praga-Południe,33.0,2,1900.0,57.58
 Praga-Południe,41.0,2,1900.0,46.34
 Białołęka,31.5,1,1200.0,38.1
 Ursus,36.0,3,1200.0,33.33
 Śródmieście,58.8,3,4600.0,78.23
 Ochota,54.0,2,2500.0,46.3
 Bielany,50.0,2,1950.0,39.0
 Ursus,20.0,1,1199.0,59.95
 Bemowo,43.0,2,2200.0,51.16
 Białołęka,39.0,2,1200.0,30.77
 Bemowo,20.0,1,1500.0,75.0
 Wola,36.0,1,2250.0,62.5
 Praga-Południe,41.0,2,1800.0,43.9
 Ursus,33.0,2,1790.0,54.24
 Ochota,50.0,2,3000.0,60.0
 Targówek,24.5,1,1000.0,40.82
 Włochy,40.0,2,1800.0,45.0
 Ursynów,38.0,2,2000.0,52.63
 Wola,51.0,3,2150.0,42.16
 Ochota,20.0,1,1400.0,70.0
 Ursus,35.0,1,1600.0,45.71
 Bemowo,42.0,2,1800.0,42.86
 Ursynów,37.0,1,1750.0,47.3
 Mokotów,38.0,2,1300.0,34.21
 Bemowo,55.0,3,2000.0,36.36
 Śródmieście,27.0,2,1430.0,52.96
 Mokotów,60.0,2,2800.0,46.67
 Ochota,23.0,1,1150.0,50.0
 Śródmieście,40.0,2,2000.0,50.0
 Żoliborz,19.0,1,1250.0,65.79
 Mokotów,40.0,1,1300.0,32.5
 Ochota,35.0,1,2100.0,60.0
 Bemowo,40.0,2,2400.0,60.0
 Praga-Południe,26.0,1,1700.0,65.38
 Mokotów,34.0,1,1850.0,54.41
 Białołęka,28.0,1,1390.0,49.64
 Ursynów,47.0,2,2200.0,46.81
 Mokotów,46.0,2,2500.0,54.35
 Wola,40.0,2,2550.0,63.75
 Wola,15.0,1,1500.0,100.0
 Mokotów,20.0,1,1200.0,60.0
 Ochota,73.0,3,3100.0,42.47
 Śródmieście,50.0,2,1900.0,38.0
 Śródmieście,28.0,1,1499.0,53.54
 Ursynów,67.0,3,2200.0,32.84
 Bemowo,40.0,2,1150.0,28.75
 Wola,32.0,1,1800.0,56.25
 Mokotów,42.0,1,2000.0,47.62
 Wola,60.0,3,2500.0,41.67
 Wola,79.7,3,3199.0,40.14
 Targówek,42.0,2,1500.0,35.71
 Białołęka,38.0,2,1800.0,47.37
 Żoliborz,50.0,2,1950.0,39.0
 Wola,50.0,2,1400.0,28.0
 Bielany,52.0,2,1600.0,30.77
 Praga-Południe,12.0,3,650.0,54.17
 Praga-Północ,13.0,1,1100.0,84.62
 Wola,30.0,1,1500.0,50.0
 Wola,38.0,2,1700.0,44.74
 Śródmieście,43.0,3,950.0,22.09
 Mokotów,35.0,2,1900.0,54.29
 Mokotów,60.0,3,3400.0,56.67
 Wola,30.0,2,2000.0,66.67
 Mokotów,47.0,2,2300.0,48.94
 Włochy,17.0,1,1350.0,79.41
 Wola,50.0,2,2600.0,52.0
 Praga-Południe,35.0,1,1600.0,45.71
 Śródmieście,58.0,2,3100.0,53.45
 Mokotów,42.0,2,2400.0,57.14
 Bielany,33.0,1,1300.0,39.39
 Praga-Południe,54.0,3,2200.0,40.74
 Białołęka,47.0,2,2200.0,46.81
 Mokotów,37.0,2,1800.0,48.65
 Bielany,40.0,2,2000.0,50.0
 Mokotów,20.0,1,1250.0,62.5
 Mokotów,19.0,1,1290.0,67.89
 Bielany,28.0,1,1500.0,53.57
 Ursus,34.0,2,1350.0,39.71
 Targówek,36.0,2,1900.0,52.78
 Mokotów,30.0,1,1800.0,60.0
 Białołęka,36.0,1,1100.0,30.56
 Wola,19.5,1,1250.0,64.1
 Włochy,75.0,2,2800.0,37.33
 Śródmieście,42.2,2,3000.0,71.09
 Bielany,38.0,2,1600.0,42.11
 Mokotów,31.0,1,1900.0,61.29
 Wola,35.0,1,1500.0,42.86
 Białołęka,65.0,3,2100.0,32.31
 Mokotów,43.0,2,3500.0,81.4
 Mokotów,35.0,1,1500.0,42.86
 Mokotów,32.0,1,1500.0,46.88
 Mokotów,23.0,1,1850.0,80.43
 Wola,50.0,2,2600.0,52.0
 Wola,25.0,1,2000.0,80.0
 Bemowo,41.5,2,1750.0,42.17
 Włochy,20.0,1,2200.0,110.0
 Ochota,34.35,2,2500.0,72.78
 Bemowo,27.0,1,1700.0,62.96
 Bemowo,47.0,2,1500.0,31.91
 Białołęka,47.0,2,2300.0,48.94
 Ochota,60.0,2,2800.0,46.67
 Mokotów,50.0,2,2000.0,40.0
 Bielany,26.0,1,1350.0,51.92
 Praga-Południe,78.5,4,2950.0,37.58
 Białołęka,45.0,2,1300.0,28.89
 Mokotów,32.0,1,1350.0,42.19
 Mokotów,38.0,2,2000.0,52.63
 Praga-Południe,40.0,2,2200.0,55.0
 Bemowo,59.0,2,2000.0,33.9
 Ursus,39.0,2,1580.0,40.51
 Żoliborz,50.0,2,2700.0,54.0
 Ursus,50.0,2,1700.0,34.0
 Bemowo,37.0,1,1500.0,40.54
 Śródmieście,21.0,1,1850.0,88.1
 Targówek,40.0,1,1300.0,32.5
 Mokotów,16.0,1,1630.0,101.88
 Mokotów,16.0,1,1630.0,101.88
 Śródmieście,55.0,2,2500.0,45.45
 Wola,34.0,2,1790.0,52.65
 Ursynów,17.0,1,1500.0,88.24
 Wola,45.0,3,2200.0,48.89
 Włochy,49.0,2,2500.0,51.02
 Bielany,54.0,3,2400.0,44.44
 Ursynów,31.0,1,1400.0,45.16
 Praga-Północ,25.0,1,1400.0,56.0
 Praga-Południe,45.0,2,2100.0,46.67
 Targówek,42.0,2,1500.0,35.71
 Śródmieście,64.0,3,2750.0,42.97
 Mokotów,62.0,3,2400.0,38.71
 Mokotów,34.0,1,2040.0,60.0
 Śródmieście,57.0,3,3200.0,56.14
 Bielany,54.0,2,1600.0,29.63
 Białołęka,36.0,2,2200.0,61.11
 Bielany,23.0,1,1397.0,60.74
 Wola,38.0,2,2200.0,57.89
 Ursus,34.0,1,1700.0,50.0
 Wola,39.0,2,1600.0,41.03
 Ursynów,45.0,2,2100.0,46.67
 Wesoła,28.0,1,1600.0,57.14
 Wola,38.0,2,1300.0,34.21
 Wola,52.0,2,2000.0,38.46
 Mokotów,65.0,2,2000.0,30.77
 Targówek,46.0,2,2000.0,43.48
 Wola,30.43,2,2200.0,72.3
 Śródmieście,30.0,1,1700.0,56.67
 Wola,22.0,1,1600.0,72.73
 Wola,30.0,2,2000.0,66.67
 Białołęka,17.0,3,800.0,47.06
 Wawer,35.0,1,1300.0,37.14
 Ursus,32.0,1,1250.0,39.06
 Praga-Południe,20.0,1,1700.0,85.0
 Śródmieście,39.0,1,2199.0,56.38
 Praga-Południe,27.0,1,1600.0,59.26
